no_trees,depth,no_features,no_thresholds,no_leaves,our_bits,lgb_bits,logloss,rmse,accuracy,tinygbdt_penalty_feature,tinygbdt_penalty_split
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,1024.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,1024.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,1024.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,1024.0
4.0,3.0,15.0,61.0,38.0,2522.0,3856.0,0.0,0.0,0.9385964912280702,16.0,2048.0
4.0,5.0,25.0,105.0,68.0,5345.0,7216.0,0.0,0.0,0.956140350877193,16.0,2048.0
4.0,7.0,30.0,139.0,87.0,12453.0,9344.0,0.0,0.0,0.9473684210526315,16.0,2048.0
9.0,3.0,22.0,112.0,73.0,4825.0,7376.0,0.0,0.0,0.956140350877193,16.0,2048.0
9.0,5.0,31.0,195.0,132.0,10505.0,13984.0,0.0,0.0,0.956140350877193,16.0,2048.0
9.0,7.0,31.0,256.0,174.0,25329.0,18688.0,0.0,0.0,0.956140350877193,16.0,2048.0
14.0,3.0,27.0,159.0,108.0,6828.0,10896.0,0.0,0.0,0.956140350877193,16.0,2048.0
14.0,5.0,31.0,275.0,197.0,15570.0,20864.0,0.0,0.0,0.956140350877193,16.0,2048.0
14.0,7.0,31.0,378.0,274.0,39780.0,29488.0,0.0,0.0,0.956140350877193,16.0,2048.0
19.0,3.0,28.0,204.0,144.0,8985.0,14528.0,0.0,0.0,0.956140350877193,16.0,2048.0
19.0,5.0,31.0,355.0,270.0,20988.0,28640.0,0.0,0.0,0.956140350877193,16.0,2048.0
19.0,7.0,31.0,496.0,377.0,52742.0,40624.0,0.0,0.0,0.956140350877193,16.0,2048.0
29.0,3.0,28.0,283.0,215.0,12600.0,21680.0,0.0,0.0,0.956140350877193,16.0,2048.0
29.0,5.0,31.0,542.0,431.0,31971.0,45872.0,0.0,0.0,0.9473684210526315,16.0,2048.0
29.0,7.0,31.0,746.0,611.0,82928.0,66032.0,0.0,0.0,0.956140350877193,16.0,2048.0
39.0,3.0,28.0,366.0,289.0,16707.0,29168.0,0.0,0.0,0.956140350877193,16.0,2048.0
39.0,5.0,31.0,729.0,599.0,44067.0,63888.0,0.0,0.0,0.956140350877193,16.0,2048.0
39.0,7.0,31.0,1026.0,867.0,111710.0,93904.0,0.0,0.0,0.9473684210526315,16.0,2048.0
49.0,3.0,30.0,451.0,363.0,20672.0,36656.0,0.0,0.0,0.956140350877193,16.0,2048.0
49.0,5.0,31.0,923.0,782.0,55454.0,83584.0,0.0,0.0,0.9649122807017544,16.0,2048.0
49.0,7.0,31.0,1305.0,1140.0,146630.0,123680.0,0.0,0.0,0.9473684210526315,16.0,2048.0
99.0,3.0,31.0,845.0,726.0,40158.0,73312.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,2048.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,2048.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,2048.0
4.0,3.0,15.0,61.0,38.0,2522.0,3856.0,0.0,0.0,0.9385964912280702,16.0,4096.0
4.0,5.0,25.0,105.0,68.0,5345.0,7216.0,0.0,0.0,0.956140350877193,16.0,4096.0
4.0,7.0,30.0,139.0,87.0,12453.0,9344.0,0.0,0.0,0.9473684210526315,16.0,4096.0
9.0,3.0,22.0,112.0,73.0,4825.0,7376.0,0.0,0.0,0.956140350877193,16.0,4096.0
9.0,5.0,31.0,195.0,132.0,10505.0,13984.0,0.0,0.0,0.956140350877193,16.0,4096.0
9.0,7.0,31.0,256.0,174.0,25329.0,18688.0,0.0,0.0,0.956140350877193,16.0,4096.0
14.0,3.0,27.0,159.0,108.0,6828.0,10896.0,0.0,0.0,0.956140350877193,16.0,4096.0
14.0,5.0,31.0,275.0,197.0,15570.0,20864.0,0.0,0.0,0.956140350877193,16.0,4096.0
14.0,7.0,31.0,378.0,274.0,39780.0,29488.0,0.0,0.0,0.956140350877193,16.0,4096.0
19.0,3.0,28.0,204.0,144.0,8985.0,14528.0,0.0,0.0,0.956140350877193,16.0,4096.0
19.0,5.0,31.0,355.0,270.0,20988.0,28640.0,0.0,0.0,0.956140350877193,16.0,4096.0
19.0,7.0,31.0,496.0,377.0,52742.0,40624.0,0.0,0.0,0.956140350877193,16.0,4096.0
29.0,3.0,28.0,283.0,215.0,12600.0,21680.0,0.0,0.0,0.956140350877193,16.0,4096.0
29.0,5.0,31.0,542.0,431.0,31971.0,45872.0,0.0,0.0,0.9473684210526315,16.0,4096.0
29.0,7.0,31.0,746.0,611.0,82928.0,66032.0,0.0,0.0,0.956140350877193,16.0,4096.0
39.0,3.0,28.0,366.0,289.0,16707.0,29168.0,0.0,0.0,0.956140350877193,16.0,4096.0
39.0,5.0,31.0,729.0,599.0,44067.0,63888.0,0.0,0.0,0.956140350877193,16.0,4096.0
39.0,7.0,31.0,1026.0,867.0,111710.0,93904.0,0.0,0.0,0.9473684210526315,16.0,4096.0
49.0,3.0,30.0,451.0,363.0,20672.0,36656.0,0.0,0.0,0.956140350877193,16.0,4096.0
49.0,5.0,31.0,923.0,782.0,55454.0,83584.0,0.0,0.0,0.9649122807017544,16.0,4096.0
49.0,7.0,31.0,1305.0,1140.0,146630.0,123680.0,0.0,0.0,0.9473684210526315,16.0,4096.0
99.0,3.0,31.0,845.0,726.0,40158.0,73312.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,4096.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,4096.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,4096.0
4.0,3.0,15.0,61.0,38.0,2522.0,3856.0,0.0,0.0,0.9385964912280702,16.0,8192.0
4.0,5.0,25.0,105.0,68.0,5345.0,7216.0,0.0,0.0,0.956140350877193,16.0,8192.0
4.0,7.0,30.0,139.0,87.0,12453.0,9344.0,0.0,0.0,0.9473684210526315,16.0,8192.0
9.0,3.0,22.0,112.0,73.0,4825.0,7376.0,0.0,0.0,0.956140350877193,16.0,8192.0
9.0,5.0,31.0,195.0,132.0,10505.0,13984.0,0.0,0.0,0.956140350877193,16.0,8192.0
9.0,7.0,31.0,256.0,174.0,25329.0,18688.0,0.0,0.0,0.956140350877193,16.0,8192.0
14.0,3.0,27.0,159.0,108.0,6828.0,10896.0,0.0,0.0,0.956140350877193,16.0,8192.0
14.0,5.0,31.0,275.0,197.0,15570.0,20864.0,0.0,0.0,0.956140350877193,16.0,8192.0
14.0,7.0,31.0,378.0,274.0,39780.0,29488.0,0.0,0.0,0.956140350877193,16.0,8192.0
19.0,3.0,28.0,204.0,144.0,8985.0,14528.0,0.0,0.0,0.956140350877193,16.0,8192.0
19.0,5.0,31.0,355.0,270.0,20988.0,28640.0,0.0,0.0,0.956140350877193,16.0,8192.0
19.0,7.0,31.0,496.0,377.0,52742.0,40624.0,0.0,0.0,0.956140350877193,16.0,8192.0
29.0,3.0,28.0,283.0,215.0,12600.0,21680.0,0.0,0.0,0.956140350877193,16.0,8192.0
29.0,5.0,31.0,542.0,431.0,31971.0,45872.0,0.0,0.0,0.9473684210526315,16.0,8192.0
29.0,7.0,31.0,746.0,611.0,82928.0,66032.0,0.0,0.0,0.956140350877193,16.0,8192.0
39.0,3.0,28.0,366.0,289.0,16707.0,29168.0,0.0,0.0,0.956140350877193,16.0,8192.0
39.0,5.0,31.0,729.0,599.0,44067.0,63888.0,0.0,0.0,0.956140350877193,16.0,8192.0
39.0,7.0,31.0,1026.0,867.0,111710.0,93904.0,0.0,0.0,0.9473684210526315,16.0,8192.0
49.0,3.0,30.0,451.0,363.0,20672.0,36656.0,0.0,0.0,0.956140350877193,16.0,8192.0
49.0,5.0,31.0,923.0,782.0,55454.0,83584.0,0.0,0.0,0.9649122807017544,16.0,8192.0
49.0,7.0,31.0,1305.0,1140.0,146630.0,123680.0,0.0,0.0,0.9473684210526315,16.0,8192.0
99.0,3.0,31.0,845.0,726.0,40158.0,73312.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,8192.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,8192.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,8192.0
4.0,3.0,15.0,61.0,38.0,2522.0,3856.0,0.0,0.0,0.9385964912280702,16.0,16384.0
4.0,5.0,25.0,105.0,68.0,5345.0,7216.0,0.0,0.0,0.956140350877193,16.0,16384.0
4.0,7.0,30.0,139.0,87.0,12453.0,9344.0,0.0,0.0,0.9473684210526315,16.0,16384.0
9.0,3.0,22.0,112.0,73.0,4825.0,7376.0,0.0,0.0,0.956140350877193,16.0,16384.0
9.0,5.0,31.0,195.0,132.0,10505.0,13984.0,0.0,0.0,0.956140350877193,16.0,16384.0
9.0,7.0,31.0,256.0,174.0,25329.0,18688.0,0.0,0.0,0.956140350877193,16.0,16384.0
14.0,3.0,27.0,159.0,108.0,6828.0,10896.0,0.0,0.0,0.956140350877193,16.0,16384.0
14.0,5.0,31.0,275.0,197.0,15570.0,20864.0,0.0,0.0,0.956140350877193,16.0,16384.0
14.0,7.0,31.0,378.0,274.0,39780.0,29488.0,0.0,0.0,0.956140350877193,16.0,16384.0
19.0,3.0,28.0,204.0,144.0,8985.0,14528.0,0.0,0.0,0.956140350877193,16.0,16384.0
19.0,5.0,31.0,355.0,270.0,20988.0,28640.0,0.0,0.0,0.956140350877193,16.0,16384.0
19.0,7.0,31.0,496.0,377.0,52742.0,40624.0,0.0,0.0,0.956140350877193,16.0,16384.0
29.0,3.0,28.0,283.0,215.0,12600.0,21680.0,0.0,0.0,0.956140350877193,16.0,16384.0
29.0,5.0,31.0,542.0,431.0,31971.0,45872.0,0.0,0.0,0.9473684210526315,16.0,16384.0
29.0,7.0,31.0,746.0,611.0,82928.0,66032.0,0.0,0.0,0.956140350877193,16.0,16384.0
39.0,3.0,28.0,366.0,289.0,16707.0,29168.0,0.0,0.0,0.956140350877193,16.0,16384.0
39.0,5.0,31.0,729.0,599.0,44067.0,63888.0,0.0,0.0,0.956140350877193,16.0,16384.0
39.0,7.0,31.0,1026.0,867.0,111710.0,93904.0,0.0,0.0,0.9473684210526315,16.0,16384.0
49.0,3.0,30.0,451.0,363.0,20672.0,36656.0,0.0,0.0,0.956140350877193,16.0,16384.0
49.0,5.0,31.0,923.0,782.0,55454.0,83584.0,0.0,0.0,0.9649122807017544,16.0,16384.0
49.0,7.0,31.0,1305.0,1140.0,146630.0,123680.0,0.0,0.0,0.9473684210526315,16.0,16384.0
99.0,3.0,31.0,845.0,726.0,40158.0,73312.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,16384.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,16384.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,16384.0
4.0,3.0,15.0,61.0,38.0,2522.0,3856.0,0.0,0.0,0.9385964912280702,16.0,32768.0
4.0,5.0,25.0,105.0,68.0,5345.0,7216.0,0.0,0.0,0.956140350877193,16.0,32768.0
4.0,7.0,30.0,139.0,87.0,12453.0,9344.0,0.0,0.0,0.9473684210526315,16.0,32768.0
9.0,3.0,22.0,112.0,73.0,4825.0,7376.0,0.0,0.0,0.956140350877193,16.0,32768.0
9.0,5.0,31.0,195.0,132.0,10505.0,13984.0,0.0,0.0,0.956140350877193,16.0,32768.0
9.0,7.0,31.0,256.0,174.0,25329.0,18688.0,0.0,0.0,0.956140350877193,16.0,32768.0
14.0,3.0,27.0,159.0,108.0,6828.0,10896.0,0.0,0.0,0.956140350877193,16.0,32768.0
14.0,5.0,31.0,275.0,197.0,15570.0,20864.0,0.0,0.0,0.956140350877193,16.0,32768.0
14.0,7.0,31.0,378.0,274.0,39780.0,29488.0,0.0,0.0,0.956140350877193,16.0,32768.0
19.0,3.0,28.0,204.0,144.0,8985.0,14528.0,0.0,0.0,0.956140350877193,16.0,32768.0
19.0,5.0,31.0,355.0,270.0,20988.0,28640.0,0.0,0.0,0.956140350877193,16.0,32768.0
19.0,7.0,31.0,496.0,377.0,52742.0,40624.0,0.0,0.0,0.956140350877193,16.0,32768.0
29.0,3.0,28.0,283.0,215.0,12600.0,21680.0,0.0,0.0,0.956140350877193,16.0,32768.0
29.0,5.0,31.0,542.0,431.0,31971.0,45872.0,0.0,0.0,0.9473684210526315,16.0,32768.0
29.0,7.0,31.0,746.0,611.0,82928.0,66032.0,0.0,0.0,0.956140350877193,16.0,32768.0
39.0,3.0,28.0,366.0,289.0,16707.0,29168.0,0.0,0.0,0.956140350877193,16.0,32768.0
39.0,5.0,31.0,729.0,599.0,44067.0,63888.0,0.0,0.0,0.956140350877193,16.0,32768.0
39.0,7.0,31.0,1026.0,867.0,111710.0,93904.0,0.0,0.0,0.9473684210526315,16.0,32768.0
49.0,3.0,30.0,451.0,363.0,20672.0,36656.0,0.0,0.0,0.956140350877193,16.0,32768.0
49.0,5.0,31.0,923.0,782.0,55454.0,83584.0,0.0,0.0,0.9649122807017544,16.0,32768.0
49.0,7.0,31.0,1305.0,1140.0,146630.0,123680.0,0.0,0.0,0.9473684210526315,16.0,32768.0
99.0,3.0,31.0,845.0,726.0,40158.0,73312.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,16.0,32768.0
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,16.0,32768.0
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,16.0,32768.0
4.0,3.0,15.0,61.0,38.0,2522.0,3856.0,0.0,0.0,0.9385964912280702,32.0,0.000976562
4.0,5.0,25.0,105.0,68.0,5345.0,7216.0,0.0,0.0,0.956140350877193,32.0,0.000976562
4.0,7.0,30.0,139.0,87.0,12453.0,9344.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
9.0,3.0,22.0,112.0,73.0,4825.0,7376.0,0.0,0.0,0.956140350877193,32.0,0.000976562
9.0,5.0,31.0,195.0,132.0,10505.0,13984.0,0.0,0.0,0.956140350877193,32.0,0.000976562
9.0,7.0,31.0,256.0,174.0,25329.0,18688.0,0.0,0.0,0.956140350877193,32.0,0.000976562
14.0,3.0,27.0,159.0,108.0,6828.0,10896.0,0.0,0.0,0.956140350877193,32.0,0.000976562
14.0,5.0,31.0,275.0,197.0,15570.0,20864.0,0.0,0.0,0.956140350877193,32.0,0.000976562
14.0,7.0,31.0,378.0,274.0,39780.0,29488.0,0.0,0.0,0.956140350877193,32.0,0.000976562
19.0,3.0,28.0,204.0,144.0,8985.0,14528.0,0.0,0.0,0.956140350877193,32.0,0.000976562
19.0,5.0,31.0,355.0,270.0,20988.0,28640.0,0.0,0.0,0.956140350877193,32.0,0.000976562
19.0,7.0,31.0,496.0,377.0,52742.0,40624.0,0.0,0.0,0.956140350877193,32.0,0.000976562
29.0,3.0,28.0,283.0,215.0,12600.0,21680.0,0.0,0.0,0.956140350877193,32.0,0.000976562
29.0,5.0,31.0,542.0,431.0,31971.0,45872.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
29.0,7.0,31.0,746.0,611.0,82928.0,66032.0,0.0,0.0,0.956140350877193,32.0,0.000976562
39.0,3.0,28.0,366.0,289.0,16707.0,29168.0,0.0,0.0,0.956140350877193,32.0,0.000976562
39.0,5.0,31.0,729.0,599.0,44067.0,63888.0,0.0,0.0,0.956140350877193,32.0,0.000976562
39.0,7.0,31.0,1026.0,867.0,111710.0,93904.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
49.0,3.0,30.0,451.0,363.0,20672.0,36656.0,0.0,0.0,0.956140350877193,32.0,0.000976562
49.0,5.0,31.0,923.0,782.0,55454.0,83584.0,0.0,0.0,0.9649122807017544,32.0,0.000976562
49.0,7.0,31.0,1305.0,1140.0,146630.0,123680.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
99.0,3.0,31.0,845.0,726.0,40158.0,73312.0,0.0,0.0,0.956140350877193,32.0,0.000976562
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,32.0,0.000976562
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,32.0,0.000976562
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,32.0,0.000976562
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,32.0,0.000976562
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,32.0,0.000976562
51.0,7.0,31.0,1362.0,1196.0,152611.0,129792.0,0.0,0.0,0.9473684210526315,32.0,0.000976562
165.0,3.0,31.0,1344.0,1215.0,65729.0,122800.0,0.0,0.0,0.956140350877193,32.0,0.000976562
72.0,5.0,31.0,1344.0,1180.0,83156.0,126320.0,0.0,0.0,0.956140350877193,32.0,0.000976562
